id,title,description,duration,tags
1,Change BOM on SAP,Before wall open green parent.,84,"['Work', 'Quality Engineering']"
2,Add Comments,Like wall serve.,41,"['Study', 'Programming']"
3,Present Data Insights,Relationship song continue light.,105,"['Work', 'Data Science']"
4,Running,Rule number scientist away least certainly garden.,80,"['Health & Wellbeing', 'Personal Care']"
5,Review Process,Couple truth sing remain family.,92,"['Work', 'Data Science']"
6,Buy Face Wash,Doctor accept tough street month.,84,"['Health & Wellbeing', 'Fitness']"
7,Calculate Savings,Address decide be figure.,82,"['Work', 'Adminstration']"
8,Calculate Savings,Scene great bit.,104,"['Work', 'Data Science']"
9,Running,Age close section gun choose heart data.,63,"['Health & Wellbeing', 'Personal Care']"
10,Read Research Papers,Animal race yet image model bit.,37,"['Study', 'Programming']"
11,Test Product,Outside have product her off.,48,"['Work', 'Data Science']"
12,Gym,Can past pick beat.,90,"['Health & Wellbeing', 'Personal Care']"
13,Evaluate Data,Meet partner respond option realize boy firm.,67,"['Work', 'Quality Engineering']"
14,Analyse Data,Provide management huge.,79,"['Work', 'Adminstration']"
15,Change BOM on SAP,Country indicate turn up either.,120,"['Work', 'Adminstration']"
16,Go GP Appointment,Evidence clearly cup usually American summer.,33,"['Health & Wellbeing', 'Fitness']"
17,Evaluate Data,Quickly race back history available.,28,"['Work', 'Quality Engineering']"
18,Test Product,Wear dream however president word.,114,"['Work', 'Adminstration']"
19,Present Data Insights,Race suggest father bit his under.,110,"['Work', 'Data Science']"
20,Running,Allow probably firm much knowledge machine enough.,63,"['Health & Wellbeing', 'Personal Care']"
21,Clean Room,Wall not factor difficult account should particular.,30,"['Home', '']"
22,Go GP Appointment,Develop real tend practice out stuff.,68,"['Health & Wellbeing', 'Personal Care']"
23,Coding,Exist standard want specific.,38,"['Study', 'Programming']"
24,Present Data Insights,Suddenly Republican hour project off.,52,"['Work', 'Data Science']"
25,Attend Meeting,Meeting stage different those guy.,26,"['Work', 'Data Science']"
26,Analyse Data,Mr necessary protect risk window.,96,"['Work', 'Adminstration']"
27,4-eye Check,Region chance could yard role television.,58,"['Work', 'Quality Engineering']"
28,Evaluate Data,During each candidate attack.,19,"['Work', 'Adminstration']"
29,4-eye Check,Type investment single everything herself him act point.,56,"['Work', 'Adminstration']"
30,Laundry,American three play among organization.,28,"['Home', '']"
31,Calculate Savings,Believe message someone hospital produce loss federal.,28,"['Work', 'Quality Engineering']"
32,Laundry,More create whose rise car.,20,"['Home', '']"
33,4-eye Check,Charge word each live spring medical common magazine.,119,"['Work', 'Adminstration']"
34,4-eye Check,Community American ready director suggest last listen.,22,"['Work', 'Adminstration']"
35,Attend Meeting,Wife dinner instead as writer professional field.,50,"['Work', 'Data Science']"
36,Present Data Insights,Card hit board the.,96,"['Work', 'Adminstration']"
37,Change BOM on SAP,Our coach generation really.,115,"['Work', 'Data Science']"
38,Buy Cream,Road by old whom of market.,45,"['Health & Wellbeing', 'Personal Care']"
39,Attend Meeting,Attorney myself position put interview.,102,"['Work', 'Quality Engineering']"
40,Test Product,Beat government finish method new executive thank.,41,"['Work', 'Data Science']"
41,Present Data Insights,Bar much herself son learn become finish my.,49,"['Work', 'Quality Engineering']"
42,Add Comments,Anything part strategy investment why coach arm rather.,51,"['Study', 'Programming']"
43,Attend Meeting,Opportunity western local cultural.,40,"['Work', 'Quality Engineering']"
44,Review Process,Find conference indeed special religious still probably.,52,"['Work', 'Data Science']"
45,Evaluate Data,Federal save job people.,45,"['Work', 'Data Science']"
46,Test Product,Mission billion action red education.,31,"['Work', 'Quality Engineering']"
47,Calculate Savings,Two choose technology us.,43,"['Work', 'Data Science']"
48,Present Data Insights,Fast care step.,52,"['Work', 'Data Science']"
49,Add Comments,Seek direction bad month thought pattern full.,42,"['Study', 'Programming']"
50,4-eye Check,Forget gun house figure high.,36,"['Work', 'Adminstration']"
51,Present Data Insights,Here good action despite.,35,"['Work', 'Quality Engineering']"
52,Change BOM on SAP,Report above although far station safe.,18,"['Work', 'Adminstration']"
53,Change BOM on SAP,Special dog industry often.,25,"['Work', 'Adminstration']"
54,Test Product,So south your much.,91,"['Work', 'Adminstration']"
55,Attend Meeting,Success leave board record guy manage.,44,"['Work', 'Quality Engineering']"
56,4-eye Check,Out this hour military.,87,"['Work', 'Adminstration']"
57,Gym,Beat up show same.,30,"['Health & Wellbeing', 'Personal Care']"
58,Analyse Data,Bad old present seat simply.,46,"['Work', 'Adminstration']"
59,Calculate Savings,Exactly tonight simple southern manage.,93,"['Work', 'Quality Engineering']"
60,Calculate Savings,Candidate hard his like fight sound social.,72,"['Work', 'Adminstration']"
61,Test Product,Affect often argue wait.,119,"['Work', 'Adminstration']"
62,Analyse Data,Ready training record there woman leave.,108,"['Work', 'Data Science']"
63,Running,Anything book Democrat picture past leader life.,80,"['Health & Wellbeing', 'Fitness']"
64,Evaluate Data,Truth until public enjoy.,56,"['Work', 'Adminstration']"
65,Evaluate Data,Moment here dark buy beat sign.,41,"['Work', 'Data Science']"
66,Read Research Papers,Note we section lot black.,26,"['Study', 'Programming']"
67,Buy Cream,World event front to.,69,"['Health & Wellbeing', 'Fitness']"
68,Watch Guide,For enter chair effort population.,59,"['Study', 'Programming']"
69,Analyse Data,Billion federal animal.,24,"['Work', 'Adminstration']"
70,Test Product,Analysis health bag hour.,119,"['Work', 'Quality Engineering']"
71,Change Bed Sheets,Quite end understand land rather least.,40,"['Home', '']"
72,Change BOM on SAP,Investment let treatment government dark entire.,44,"['Work', 'Adminstration']"
73,Analyse Data,Finish product management easy article PM election.,95,"['Work', 'Data Science']"
74,Go to Cinema,Visit grow human mention.,184,"['Friends&Family', 'Friends']"
75,Present Data Insights,Long success particularly else artist.,101,"['Work', 'Data Science']"
76,Change Bed Sheets,Rate those teach month goal.,31,"['Home', '']"
77,4-eye Check,Style nice community once role third up.,97,"['Work', 'Quality Engineering']"
78,Evaluate Data,Then everybody while also include.,72,"['Work', 'Adminstration']"
79,Attend Meeting,Page inside develop technology change system still star.,101,"['Work', 'Adminstration']"
80,Add Comments,Tell not common natural assume health.,47,"['Study', 'Programming']"
81,Read Research Papers,Firm shake minute eye.,41,"['Study', 'Programming']"
82,Add Comments,Recognize contain show rule agent.,32,"['Study', 'Programming']"
83,Change Bed Sheets,Price throughout performance.,37,"['Home', '']"
84,Analyse Data,Fund director every same.,21,"['Work', 'Data Science']"
85,Calculate Savings,Time national organization room water either represent wife.,28,"['Work', 'Quality Engineering']"
86,Change BOM on SAP,Remember draw many.,66,"['Work', 'Quality Engineering']"
87,Buy Cream,Smile traditional memory into.,79,"['Health & Wellbeing', 'Personal Care']"
88,Test Product,Final future note kid option.,18,"['Work', 'Adminstration']"
89,Change BOM on SAP,Trouble year any forward behavior.,55,"['Work', 'Data Science']"
90,Evaluate Data,Candidate away carry do race onto.,42,"['Work', 'Adminstration']"
91,Test Product,Marriage water never that notice beautiful once.,60,"['Work', 'Adminstration']"
92,Gym,Matter discuss skin painting surface.,85,"['Health & Wellbeing', 'Fitness']"
93,Clean Room,Soon argue economy direction kind imagine.,23,"['Home', '']"
94,Attend Meeting,Heart method she choice throw budget tough call.,108,"['Work', 'Data Science']"
95,Present Data Insights,Middle who win.,104,"['Work', 'Adminstration']"
96,Calculate Savings,Most half street simple doctor former.,44,"['Work', 'Adminstration']"
97,Analyse Data,Tv turn other represent interview.,87,"['Work', 'Adminstration']"
98,Go GP Appointment,Mrs low similar with step our central.,63,"['Health & Wellbeing', 'Fitness']"
99,Attend Meeting,Drug official choose sound remember trouble.,75,"['Work', 'Data Science']"
100,Clean Room,Song take surface great.,30,"['Home', '']"
101,Present Data Insights,Quickly nearly cup sound window final.,50,"['Work', 'Quality Engineering']"
102,Go GP Appointment,Professor size decade special attention lay list.,61,"['Health & Wellbeing', 'Personal Care']"
103,Calculate Savings,Region address maybe expect mouth pretty baby.,116,"['Work', 'Data Science']"
104,4-eye Check,Name right hour heavy gun.,76,"['Work', 'Quality Engineering']"
105,Go GP Appointment,Matter PM again case.,58,"['Health & Wellbeing', 'Fitness']"
106,Change BOM on SAP,Whole reason nor agent.,49,"['Work', 'Data Science']"
107,Attend Meeting,Their force less represent chair.,35,"['Work', 'Data Science']"
108,4-eye Check,Guy amount like task room no.,27,"['Work', 'Quality Engineering']"
109,Buy Cream,Sometimes could three exactly prevent strong.,79,"['Health & Wellbeing', 'Fitness']"
110,Calculate Savings,They between yet himself keep discussion more.,116,"['Work', 'Quality Engineering']"
111,4-eye Check,National easy important.,48,"['Work', 'Adminstration']"
112,Laundry,Recognize tell town bill enough language.,32,"['Home', '']"
113,Attend Meeting,Total adult culture couple analysis company.,92,"['Work', 'Quality Engineering']"
114,Evaluate Data,Happen computer soon current home staff according.,120,"['Work', 'Data Science']"
115,Present Data Insights,Social newspaper budget continue.,47,"['Work', 'Quality Engineering']"
116,4-eye Check,Entire north center one painting center.,32,"['Work', 'Adminstration']"
117,Running,Piece he sit project anyone a street.,81,"['Health & Wellbeing', 'Fitness']"
118,Attend Meeting,Order economic memory even through sound car player.,53,"['Work', 'Quality Engineering']"
119,Attend Meeting,Hotel order more.,79,"['Work', 'Quality Engineering']"
120,Watch Guide,Source later always other exactly.,55,"['Study', 'Programming']"
121,Go Pub,Eight address knowledge data she table although pay.,331,"['Friends&Family', 'Family']"
122,Test Product,Threat successful be bill career more quickly.,34,"['Work', 'Data Science']"
123,Attend Meeting,Positive discover process maybe art bring sea.,46,"['Work', 'Adminstration']"
124,Go GP Appointment,Charge product force mission six.,86,"['Health & Wellbeing', 'Fitness']"
125,Change Bed Sheets,Base movement wide message develop.,26,"['Home', '']"
126,Change BOM on SAP,Evidence not main ready Mr.,120,"['Work', 'Adminstration']"
127,Review Process,Firm call sea edge near.,111,"['Work', 'Adminstration']"
128,Running,Night short house pattern picture team.,60,"['Health & Wellbeing', 'Personal Care']"
